geoid_o,geoid_d,visitor_flows,geoid_o_fips5,geoid_d_fips5
1001,1001,22427.75,01001,01001
1001,1003,493.0625,01001,01003
1001,1013,103.125,01001,01013
1001,1015,58.4375,01001,01015
1001,1017,29.0625,01001,01017
1001,1021,1275.0,01001,01021
1001,1031,40.25,01001,01031
1001,1035,43.5,01001,01035
1001,1039,47.25,01001,01039
1001,1041,39.5625,01001,01041
1001,1043,30.0625,01001,01043
1001,1045,30.3125,01001,01045
1001,1047,412.6875,01001,01047
1001,1051,15698.8125,01001,01051
1001,1053,45.875,01001,01053
1001,1069,100.25,01001,01069
1001,1073,946.75,01001,01073
1001,1081,374.125,01001,01081
1001,1085,70.8125,01001,01085
1001,1087,66.25,01001,01087
1001,1089,77.75,01001,01089
1001,1097,138.5625,01001,01097
1001,1101,8248.4375,01001,01101
1001,1103,27.0625,01001,01103
1001,1109,135.5,01001,01109
1001,1113,22.6875,01001,01113
1001,1115,55.3125,01001,01115
1001,1117,542.0625,01001,01117
1001,1121,45.1875,01001,01121
1001,1123,115.8125,01001,01123
1001,1125,172.8125,01001,01125
1001,1127,25.625,01001,01127
1001,12005,301.625,01001,12005
1001,12033,81.875,01001,12033
1001,12091,154.875,01001,12091
1001,12095,118.125,01001,12095
1001,12131,129.8125,01001,12131
1001,13063,54.875,01001,13063
1001,13067,77.9375,01001,13067
1001,13077,40.0,01001,13077
1001,13089,44.8125,01001,13089
1001,13121,144.5,01001,13121
1001,13215,64.4375,01001,13215
1001,13285,53.875,01001,13285
1001,28075,19.625,01001,28075
1001,47155,226.625,01001,47155
1003,1001,77.0,01003,01001
1003,1003,155282.8125,01003,01003
1003,1013,281.4375,01003,01013
1003,1015,91.75,01003,01015
1003,1021,108.4375,01003,01021
1003,1023,29.625,01003,01023
1003,1025,180.75,01003,01025
1003,1031,35.0625,01003,01031
1003,1035,220.9375,01003,01035
1003,1039,82.625,01003,01039
1003,1043,107.125,01003,01043
1003,1047,46.5,01003,01047
1003,1049,61.625,01003,01049
1003,1051,235.5,01003,01051
1003,1053,1472.4375,01003,01053
1003,1055,81.5625,01003,01055
1003,1069,128.5,01003,01069
1003,1073,980.8125,01003,01073
1003,1077,56.875,01003,01077
1003,1081,536.6875,01003,01081
1003,1085,167.875,01003,01085
1003,1089,226.4375,01003,01089
1003,1091,34.75,01003,01091
1003,1095,58.625,01003,01095
1003,1097,12034.8125,01003,01097
1003,1099,169.0,01003,01099
1003,1101,475.3125,01003,01101
1003,1103,91.0625,01003,01103
1003,1109,74.875,01003,01109
1003,1115,86.4375,01003,01115
1003,1117,383.75,01003,01117
1003,1121,33.75,01003,01121
1003,1123,65.3125,01003,01123
1003,1125,401.0625,01003,01125
1003,1127,42.5,01003,01127
1003,1129,61.0,01003,01129
1003,1131,26.125,01003,01131
1003,8031,66.0,01003,08031
1003,12001,64.125,01003,12001
1003,12005,353.6875,01003,12005
1003,12011,66.375,01003,12011
1003,12023,51.4375,01003,12023
1003,12031,76.375,01003,12031
1003,12033,8591.3125,01003,12033
1003,12039,25.3125,01003,12039
1003,12057,104.125,01003,12057
1003,12059,34.0,01003,12059
