thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,1001,0,0.0,-0.007019613869729502,0.0,-0.007019613869729502,0.027373177276530904
0.25,vax2,2021-02-15,1003,0,0.0,-0.014057208849896793,0.0,-0.014057208849896793,0.027373177276530904
0.25,vax2,2021-02-15,1005,0,0.0,-0.000742900102930717,0.0,-0.000742900102930717,0.027373177276530904
0.25,vax2,2021-02-15,1007,0,0.0,0.01201201331560092,0.0,0.01201201331560092,0.027373177276530904
0.25,vax2,2021-02-15,1009,0,0.0,0.04056328952289876,0.0,0.04056328952289876,0.027373177276530904
0.25,vax2,2021-02-15,1011,0,0.0,0.020908819442917562,0.0,0.020908819442917562,0.027373177276530904
0.25,vax2,2021-02-15,1013,0,0.0,0.001424779889979381,0.0,0.001424779889979381,0.027373177276530904
0.25,vax2,2021-02-15,1015,0,0.0,-0.00940726384254204,0.0,-0.00940726384254204,0.027373177276530904
0.25,vax2,2021-02-15,1017,0,0.0,-0.00510544585665519,0.0,-0.00510544585665519,0.027373177276530904
0.25,vax2,2021-02-15,1019,0,0.0,0.03067775409711352,0.0,0.03067775409711352,0.027373177276530904
0.25,vax2,2021-02-15,1021,0,0.0,0.01860306912351768,0.0,0.01860306912351768,0.027373177276530904
0.25,vax2,2021-02-15,1023,0,0.0,0.030561966826893727,0.0,0.030561966826893727,0.027373177276530904
0.25,vax2,2021-02-15,1025,0,0.0,0.005763579520758333,0.0,0.005763579520758333,0.027373177276530904
0.25,vax2,2021-02-15,1027,0,0.0,0.023606825710668567,0.0,0.023606825710668567,0.027373177276530904
0.25,vax2,2021-02-15,1029,0,0.0,0.026092981343806887,0.0,0.026092981343806887,0.027373177276530904
0.25,vax2,2021-02-15,1031,0,0.0,0.004091689774423402,0.0,0.004091689774423402,0.027373177276530904
0.25,vax2,2021-02-15,1033,0,0.0,0.015202315297723411,0.0,0.015202315297723411,0.027373177276530904
0.25,vax2,2021-02-15,1035,0,0.0,0.01578969436668089,0.0,0.01578969436668089,0.027373177276530904
